# JMH 1.17.4 (released 264 days ago, please consider updating!)
# VM version: JDK 1.8.0_144, VM 25.144-b01
# VM invoker: /home/opt/jdk1.8.0_144/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: benchmark.NavigableParallelStreamBenchmarkTest.testIt

# Run progress: 0.00% complete, ETA 00:16:40
# Fork: 1 of 5
# Warmup Iteration   1: 146390.458 ops/s
# Warmup Iteration   2: 205990.407 ops/s
# Warmup Iteration   3: 208932.371 ops/s
# Warmup Iteration   4: 219179.036 ops/s
# Warmup Iteration   5: 213638.670 ops/s
# Warmup Iteration   6: 232581.530 ops/s
# Warmup Iteration   7: 213836.175 ops/s
# Warmup Iteration   8: 214832.184 ops/s
# Warmup Iteration   9: 222514.073 ops/s
# Warmup Iteration  10: 205975.454 ops/s
# Warmup Iteration  11: 230021.151 ops/s
# Warmup Iteration  12: 208593.709 ops/s
# Warmup Iteration  13: 207986.298 ops/s
# Warmup Iteration  14: 205972.150 ops/s
# Warmup Iteration  15: 213373.466 ops/s
# Warmup Iteration  16: 216660.111 ops/s
# Warmup Iteration  17: 200138.604 ops/s
# Warmup Iteration  18: 221252.716 ops/s
# Warmup Iteration  19: 210404.527 ops/s
# Warmup Iteration  20: 211773.118 ops/s
# Warmup Iteration  15: 206947.619 ops/s
# Warmup Iteration  16: 220805.723 ops/s
# Warmup Iteration  17: 204424.197 ops/s
# Warmup Iteration  18: 230683.333 ops/s
# Warmup Iteration  19: 210243.676 ops/s
# Warmup Iteration  20: 225316.486 ops/s
Iteration   1: 199625.609 ops/s
Iteration   2: 209575.346 ops/s
Iteration   3: 208945.155 ops/s
Iteration   4: 219720.285 ops/s
Iteration   5: 227104.402 ops/s
Iteration   6: 207454.329 ops/s
Iteration   7: 218632.995 ops/s
Iteration   8: 210998.011 ops/s
Iteration   9: 210700.089 ops/s
Iteration  10: 215251.852 ops/s
Iteration  11: 206980.199 ops/s
Iteration  12: 205198.196 ops/s
Iteration  13: 217609.511 ops/s
Iteration  14: 211601.333 ops/s
Iteration  15: 220314.717 ops/s
Iteration  16: 221574.567 ops/s
Iteration  17: 225654.029 ops/s
Iteration  18: 205999.169 ops/s
Iteration  19: 218949.558 ops/s
Iteration  20: 211662.067 ops/s

# Run progress: 8.00% complete, ETA 00:15:30
# Fork: 3 of 5
# Warmup Iteration   1: 169175.284 ops/s
# Warmup Iteration   2: 207100.362 ops/s
# Warmup Iteration   3: 247634.074 ops/s
# Warmup Iteration   4: 215996.959 ops/s
# Warmup Iteration   5: 210359.597 ops/s
# Warmup Iteration   6: 213120.574 ops/s
# Warmup Iteration   7: 206145.902 ops/s
# Warmup Iteration   8: 213509.039 ops/s
# Warmup Iteration   9: 201781.782 ops/s
# Warmup Iteration  10: 205319.478 ops/s
# Warmup Iteration  11: 213705.145 ops/s
# Warmup Iteration  12: 214759.255 ops/s
# Warmup Iteration  13: 218791.859 ops/s
# Warmup Iteration  14: 212860.278 ops/s
# Warmup Iteration  15: 212312.532 ops/s
# Warmup Iteration  16: 203037.384 ops/s
# Warmup Iteration  17: 209981.786 ops/s
# Warmup Iteration  18: 226183.396 ops/s
# Warmup Iteration  19: 208673.076 ops/s
# Warmup Iteration  20: 357024.519 ops/s
Iteration   1: 273701.992 ops/s
Iteration   2: 266768.039 ops/s
Iteration   3: 258845.850 ops/s
Iteration   4: 275571.784 ops/s
Iteration   5: 243370.212 ops/s
Iteration   6: 278700.367 ops/s
Iteration   7: 271619.813 ops/s
Iteration   8: 261332.807 ops/s
Iteration   9: 220072.177 ops/s
Iteration  10: 246054.742 ops/s
Iteration  11: 223065.770 ops/s
Iteration  12: 227912.661 ops/s
Iteration  13: 221331.493 ops/s
Iteration  14: 214131.186 ops/s
Iteration  15: 214786.022 ops/s
Iteration  16: 214838.970 ops/s
Iteration  17: 214092.166 ops/s
Iteration  18: 215241.796 ops/s
Iteration  19: 207715.746 ops/s
Iteration  20: 223797.079 ops/s

# Run progress: 12.00% complete, ETA 00:14:50
# Fork: 4 of 5
# Warmup Iteration   1: 176602.589 ops/s
# Warmup Iteration   2: 205640.362 ops/s
# Warmup Iteration   3: 219446.653 ops/s
# Warmup Iteration   4: 206835.876 ops/s
# Warmup Iteration   5: 220538.837 ops/s
# Warmup Iteration   6: 201868.890 ops/s
# Warmup Iteration   7: 212045.369 ops/s
# Warmup Iteration   8: 220633.186 ops/s
# Warmup Iteration   9: 211228.205 ops/s
# Warmup Iteration  10: 217646.164 ops/s
# Warmup Iteration  11: 212683.409 ops/s
# Warmup Iteration  12: 205877.235 ops/s
# Warmup Iteration  13: 204522.335 ops/s
# Warmup Iteration  14: 201949.170 ops/s
# Warmup Iteration  15: 224260.267 ops/s
# Warmup Iteration  16: 222906.996 ops/s
# Warmup Iteration  17: 220500.846 ops/s
# Warmup Iteration  18: 209899.158 ops/s
# Warmup Iteration  19: 205077.865 ops/s
# Warmup Iteration  20: 220641.578 ops/s
Iteration   1: 209852.894 ops/s
Iteration   2: 211429.317 ops/s
Iteration   3: 207598.669 ops/s
Iteration   4: 200457.117 ops/s
Iteration   5: 217684.070 ops/s
Iteration   6: 198015.894 ops/s
Iteration   7: 216123.384 ops/s
Iteration   8: 218469.565 ops/s
Iteration   9: 201752.076 ops/s
Iteration  10: 209711.467 ops/s
Iteration  11: 210209.969 ops/s
Iteration  12: 204451.193 ops/s
Iteration  13: 212908.173 ops/s
Iteration  14: 215417.765 ops/s
Iteration  15: 210658.257 ops/s
Iteration  16: 198978.399 ops/s
Iteration  17: 212829.101 ops/s
Iteration  18: 214670.298 ops/s
Iteration  19: 214671.459 ops/s
Iteration  20: 203604.433 ops/s

# Run progress: 16.00% complete, ETA 00:14:10
# Fork: 5 of 5
# Warmup Iteration   1: 151735.491 ops/s
# Warmup Iteration   2: 219329.797 ops/s
# Warmup Iteration   3: 211841.363 ops/s
# Warmup Iteration   4: 221560.729 ops/s
# Warmup Iteration   5: 215793.130 ops/s
# Warmup Iteration   6: 224585.894 ops/s
# Warmup Iteration   7: 218472.642 ops/s
# Warmup Iteration   8: 224394.990 ops/s
# Warmup Iteration   9: 210179.039 ops/s
# Warmup Iteration  10: 216172.791 ops/s
# Warmup Iteration  11: 222623.317 ops/s
# Warmup Iteration  12: 225241.066 ops/s
# Warmup Iteration  13: 225098.359 ops/s
# Warmup Iteration  14: 235410.308 ops/s
# Warmup Iteration  15: 219581.992 ops/s
# Warmup Iteration  16: 206256.995 ops/s
# Warmup Iteration  17: 220697.890 ops/s
# Warmup Iteration  18: 220685.593 ops/s
# Warmup Iteration  19: 209328.087 ops/s
# Warmup Iteration  20: 226616.000 ops/s
Iteration   1: 219752.105 ops/s
Iteration   2: 212838.239 ops/s
Iteration   3: 218359.058 ops/s
Iteration   4: 213209.247 ops/s
Iteration   5: 221422.104 ops/s
Iteration   6: 227346.410 ops/s
Iteration   7: 218257.925 ops/s
Iteration   8: 219324.953 ops/s
Iteration   9: 206009.069 ops/s
Iteration  10: 214342.422 ops/s
Iteration  11: 219022.478 ops/s
Iteration  12: 224374.041 ops/s
Iteration  13: 226243.390 ops/s
Iteration  14: 232392.811 ops/s
Iteration  15: 221292.066 ops/s
Iteration  16: 202225.846 ops/s
Iteration  17: 211037.899 ops/s
Iteration  18: 215102.604 ops/s
Iteration  19: 216928.672 ops/s
Iteration  20: 205849.608 ops/s


Result "benchmark.NavigableParallelStreamBenchmarkTest.testIt":
  218098.412 ±(99.9%) 5704.301 ops/s [Average]
  (min, avg, max) = (198015.894, 218098.412, 278700.367), stdev = 16819.263
  CI (99.9%): [212394.111, 223802.713] (assumes normal distribution)


# JMH 1.17.4 (released 264 days ago, please consider updating!)
# VM version: JDK 1.8.0_144, VM 25.144-b01
# VM invoker: /home/opt/jdk1.8.0_144/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: benchmark.NavigableStreamWithCustomSpliteratorBenchmarkTest.testIt

# Run progress: 20.00% complete, ETA 00:13:29
# Fork: 1 of 5
# Warmup Iteration   1: 2244636.524 ops/s
# Warmup Iteration   2: 2492466.504 ops/s
# Warmup Iteration   3: 2757549.064 ops/s
# Warmup Iteration   4: 3501691.709 ops/s
# Warmup Iteration   5: 5216822.723 ops/s
# Warmup Iteration   6: 4610147.475 ops/s
# Warmup Iteration   7: 5099311.368 ops/s
# Warmup Iteration   8: 5220782.826 ops/s
# Warmup Iteration   9: 4612602.363 ops/s
# Warmup Iteration  10: 5219411.960 ops/s
# Warmup Iteration  11: 4939983.978 ops/s
# Warmup Iteration  12: 5074840.204 ops/s
# Warmup Iteration  13: 5266384.572 ops/s
# Warmup Iteration  14: 5115753.623 ops/s
# Warmup Iteration  15: 5036928.892 ops/s
# Warmup Iteration  16: 5115734.191 ops/s
# Warmup Iteration  17: 5129336.143 ops/s
# Warmup Iteration  18: 5171275.020 ops/s
# Warmup Iteration  19: 5138037.306 ops/s
# Warmup Iteration  20: 5218146.628 ops/s
Iteration   1: 5145600.479 ops/s
Iteration   2: 5093970.378 ops/s
Iteration   3: 5247087.273 ops/s
Iteration   4: 5057943.832 ops/s
Iteration   5: 5104825.552 ops/s
Iteration   6: 5108317.330 ops/s
Iteration   7: 5244163.055 ops/s
Iteration   8: 5299027.874 ops/s
Iteration   9: 5078030.794 ops/s
Iteration  10: 5163170.479 ops/s
Iteration  11: 5141922.190 ops/s
Iteration  12: 5247531.105 ops/s
Iteration  13: 5220869.007 ops/s
Iteration  14: 5037934.446 ops/s
Iteration  15: 4925768.799 ops/s
Iteration  16: 5251506.634 ops/s
Iteration  17: 5253157.199 ops/s
Iteration  18: 5031098.586 ops/s
Iteration  19: 5159490.224 ops/s
Iteration  20: 4032284.731 ops/s

# Run progress: 24.00% complete, ETA 00:12:49
# Fork: 2 of 5
# Warmup Iteration   1: 2216228.451 ops/s
# Warmup Iteration   2: 2510143.042 ops/s
# Warmup Iteration   3: 2786842.435 ops/s
# Warmup Iteration   4: 3424413.120 ops/s
# Warmup Iteration   5: 5110858.795 ops/s
# Warmup Iteration   6: 5241863.843 ops/s
# Warmup Iteration   7: 5111032.895 ops/s
# Warmup Iteration   8: 4891113.961 ops/s
# Warmup Iteration   9: 4383165.346 ops/s
# Warmup Iteration  10: 4723816.662 ops/s
# Warmup Iteration  11: 5021243.163 ops/s
# Warmup Iteration  12: 5056258.026 ops/s
# Warmup Iteration  13: 4398827.045 ops/s
# Warmup Iteration  14: 5227875.693 ops/s
# Warmup Iteration  15: 5083664.513 ops/s
# Warmup Iteration  16: 5185004.745 ops/s
# Warmup Iteration  17: 4861695.921 ops/s
# Warmup Iteration  18: 5073928.528 ops/s
# Warmup Iteration  19: 5073813.398 ops/s
# Warmup Iteration  20: 5143915.986 ops/s
Iteration   1: 5171830.676 ops/s
Iteration   2: 5092366.088 ops/s
Iteration   3: 5278321.105 ops/s
Iteration   4: 5305037.846 ops/s
Iteration   5: 5194953.371 ops/s
Iteration   6: 5170479.011 ops/s
Iteration   7: 5220867.439 ops/s
Iteration   8: 5228549.575 ops/s
Iteration   9: 5209986.031 ops/s
Iteration  10: 5010023.577 ops/s
Iteration  11: 5060756.957 ops/s
Iteration  12: 5092920.257 ops/s
Iteration  13: 5200454.804 ops/s
Iteration  14: 5018799.906 ops/s
Iteration  15: 4981451.401 ops/s
Iteration  16: 5072911.918 ops/s
Iteration  17: 5129076.386 ops/s
Iteration  18: 5298351.429 ops/s
Iteration  19: 4983997.300 ops/s
Iteration  20: 5159443.378 ops/s

# Run progress: 28.00% complete, ETA 00:12:09
# Fork: 3 of 5
# Warmup Iteration   1: 2213776.115 ops/s
# Warmup Iteration   2: 2511584.481 ops/s
# Warmup Iteration   3: 2741909.246 ops/s
# Warmup Iteration   4: 3505446.108 ops/s
# Warmup Iteration   5: 5107349.273 ops/s
# Warmup Iteration   6: 5012682.519 ops/s
# Warmup Iteration   7: 5250352.446 ops/s
# Warmup Iteration   8: 4911084.498 ops/s
# Warmup Iteration   9: 4885150.229 ops/s
# Warmup Iteration  10: 5057384.057 ops/s
# Warmup Iteration  11: 5004698.798 ops/s
# Warmup Iteration  12: 5208520.208 ops/s
# Warmup Iteration  13: 5147180.820 ops/s
# Warmup Iteration  14: 5038440.135 ops/s
# Warmup Iteration  15: 5143868.719 ops/s
# Warmup Iteration  16: 4860492.352 ops/s
# Warmup Iteration  17: 5172271.894 ops/s
# Warmup Iteration  18: 5057658.706 ops/s
# Warmup Iteration  19: 5186456.764 ops/s
# Warmup Iteration  20: 5132835.083 ops/s
Iteration   1: 5224796.066 ops/s
Iteration   2: 5100633.435 ops/s
Iteration   3: 5033914.637 ops/s
Iteration   4: 5042054.755 ops/s
Iteration   5: 5044718.003 ops/s
Iteration   6: 5265667.855 ops/s
Iteration   7: 5076306.033 ops/s
Iteration   8: 5162581.513 ops/s
Iteration   9: 5082837.288 ops/s
Iteration  10: 5050706.648 ops/s
Iteration  11: 5040929.326 ops/s
Iteration  12: 5082066.424 ops/s
Iteration  13: 5087525.632 ops/s
Iteration  14: 5186273.963 ops/s
Iteration  15: 5110661.926 ops/s
Iteration  16: 5094010.962 ops/s
Iteration  17: 5055256.650 ops/s
Iteration  18: 5176428.746 ops/s
Iteration  19: 5077400.999 ops/s
Iteration  20: 5118836.601 ops/s

# Run progress: 32.00% complete, ETA 00:11:28
# Fork: 4 of 5
# Warmup Iteration   1: 2178230.611 ops/s
# Warmup Iteration   2: 2428349.806 ops/s
# Warmup Iteration   3: 2714898.672 ops/s
# Warmup Iteration   4: 3385230.593 ops/s
# Warmup Iteration   5: 4741832.263 ops/s
# Warmup Iteration   6: 4999098.247 ops/s
# Warmup Iteration   7: 4927685.018 ops/s
# Warmup Iteration   8: 4950607.928 ops/s
# Warmup Iteration   9: 5014261.929 ops/s
# Warmup Iteration  10: 4931185.809 ops/s
# Warmup Iteration  11: 5032397.033 ops/s
# Warmup Iteration  12: 4925243.396 ops/s
# Warmup Iteration  13: 4853499.303 ops/s
# Warmup Iteration  14: 4968887.374 ops/s
# Warmup Iteration  15: 4834103.112 ops/s
# Warmup Iteration  16: 4978479.017 ops/s
# Warmup Iteration  17: 4644830.434 ops/s
# Warmup Iteration  18: 4635475.311 ops/s
# Warmup Iteration  19: 4436671.599 ops/s
# Warmup Iteration  20: 4799439.207 ops/s
Iteration   1: 4882573.000 ops/s
Iteration   2: 4822131.566 ops/s
Iteration   3: 4783156.932 ops/s
Iteration   4: 4819698.361 ops/s
Iteration   5: 4846561.984 ops/s
Iteration   6: 4699755.874 ops/s
Iteration   7: 4701030.951 ops/s
Iteration   8: 4861219.538 ops/s
Iteration   9: 4944931.943 ops/s
Iteration  10: 4832426.234 ops/s
Iteration  11: 4718629.643 ops/s
Iteration  12: 4779630.410 ops/s
Iteration  13: 4864153.294 ops/s
Iteration  14: 4900214.720 ops/s
Iteration  15: 4779962.346 ops/s
Iteration  16: 4847077.483 ops/s
Iteration  17: 4739396.295 ops/s
Iteration  18: 4528574.287 ops/s
Iteration  19: 4801968.391 ops/s
Iteration  20: 4970056.454 ops/s

# Run progress: 36.00% complete, ETA 00:10:47
# Fork: 5 of 5
# Warmup Iteration   1: 2171048.701 ops/s
# Warmup Iteration   2: 2512324.424 ops/s
# Warmup Iteration   3: 2506426.690 ops/s
# Warmup Iteration   4: 3446604.387 ops/s
# Warmup Iteration   5: 5153428.747 ops/s
# Warmup Iteration   6: 5186999.786 ops/s
# Warmup Iteration   7: 5059241.211 ops/s
# Warmup Iteration   8: 5132373.645 ops/s
# Warmup Iteration   9: 5041862.716 ops/s
# Warmup Iteration  10: 5225801.539 ops/s
# Warmup Iteration  11: 5240738.563 ops/s
# Warmup Iteration  12: 5103120.677 ops/s
# Warmup Iteration  13: 5210773.653 ops/s
# Warmup Iteration  14: 5194586.077 ops/s
# Warmup Iteration  15: 5058742.621 ops/s
# Warmup Iteration  16: 5175567.228 ops/s
# Warmup Iteration  17: 5333727.023 ops/s
# Warmup Iteration  18: 5398284.270 ops/s
# Warmup Iteration  19: 4723099.427 ops/s
# Warmup Iteration  20: 4992653.815 ops/s
Iteration   1: 5244578.976 ops/s
Iteration   2: 5275400.332 ops/s
Iteration   3: 5115248.197 ops/s
Iteration   4: 5204265.536 ops/s
Iteration   5: 5021815.547 ops/s
Iteration   6: 5100132.985 ops/s
Iteration   7: 5226095.183 ops/s
Iteration   8: 5145132.102 ops/s
Iteration   9: 4968412.194 ops/s
Iteration  10: 5207323.854 ops/s
Iteration  11: 5083751.265 ops/s
Iteration  12: 5202591.976 ops/s
Iteration  13: 5141144.141 ops/s
Iteration  14: 5316066.977 ops/s
Iteration  15: 5187168.217 ops/s
Iteration  16: 5035921.612 ops/s
Iteration  17: 5166475.574 ops/s
Iteration  18: 5183385.298 ops/s
Iteration  19: 5111336.638 ops/s
Iteration  20: 5104789.828 ops/s


Result "benchmark.NavigableStreamWithCustomSpliteratorBenchmarkTest.testIt":
  5060020.720 ±(99.9%) 64885.711 ops/s [Average]
  (min, avg, max) = (4032284.731, 5060020.720, 5316066.977), stdev = 191316.996
  CI (99.9%): [4995135.009, 5124906.431] (assumes normal distribution)


# JMH 1.17.4 (released 264 days ago, please consider updating!)
# VM version: JDK 1.8.0_144, VM 25.144-b01
# VM invoker: /home/opt/jdk1.8.0_144/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: benchmark.NavigablesForBenchmarkTest.testIt

# Run progress: 40.00% complete, ETA 00:10:07
# Fork: 1 of 5
# Warmup Iteration   1: 13468572.073 ops/s
# Warmup Iteration   2: 13447258.524 ops/s
# Warmup Iteration   3: 13898629.041 ops/s
# Warmup Iteration   4: 14461362.209 ops/s
# Warmup Iteration   5: 14462869.453 ops/s
# Warmup Iteration   6: 13897668.259 ops/s
# Warmup Iteration   7: 14092307.662 ops/s
# Warmup Iteration   8: 14408467.927 ops/s
# Warmup Iteration   9: 14431085.584 ops/s
# Warmup Iteration  10: 14180648.550 ops/s
# Warmup Iteration  11: 14277921.958 ops/s
# Warmup Iteration  12: 14210729.901 ops/s
# Warmup Iteration  13: 14402008.503 ops/s
# Warmup Iteration  14: 14124465.764 ops/s
# Warmup Iteration  15: 13914467.951 ops/s
# Warmup Iteration  16: 14330754.763 ops/s
# Warmup Iteration  17: 14030362.142 ops/s
# Warmup Iteration  18: 14435849.839 ops/s
# Warmup Iteration  19: 14398867.330 ops/s
# Warmup Iteration  20: 14448428.406 ops/s
Iteration   1: 14284227.279 ops/s
Iteration   2: 14192100.240 ops/s
Iteration   3: 14281867.019 ops/s
Iteration   4: 14597849.247 ops/s
Iteration   5: 14622537.468 ops/s
Iteration   6: 14262883.369 ops/s
Iteration   7: 14373557.186 ops/s
Iteration   8: 14469901.547 ops/s
Iteration   9: 14438719.966 ops/s
Iteration  10: 13227410.510 ops/s
Iteration  11: 14407810.750 ops/s
Iteration  12: 14131612.292 ops/s
Iteration  13: 14515550.121 ops/s
Iteration  14: 14591546.134 ops/s
Iteration  15: 14631776.596 ops/s
Iteration  16: 14695393.601 ops/s
Iteration  17: 14518070.673 ops/s
Iteration  18: 14583294.419 ops/s
Iteration  19: 14602028.465 ops/s
Iteration  20: 14272658.226 ops/s

# Run progress: 44.00% complete, ETA 00:09:27
# Fork: 2 of 5
# Warmup Iteration   1: 13337168.591 ops/s
# Warmup Iteration   2: 13534639.591 ops/s
# Warmup Iteration   3: 14058757.805 ops/s
# Warmup Iteration   4: 14420994.076 ops/s
# Warmup Iteration   5: 14518048.171 ops/s
# Warmup Iteration   6: 14638940.029 ops/s
# Warmup Iteration   7: 14602634.996 ops/s
# Warmup Iteration   8: 14261372.451 ops/s
# Warmup Iteration   9: 14323679.539 ops/s
# Warmup Iteration  10: 14303981.395 ops/s
# Warmup Iteration  11: 14496933.868 ops/s
# Warmup Iteration  12: 14435691.003 ops/s
# Warmup Iteration  13: 14268020.676 ops/s
# Warmup Iteration  14: 14384569.899 ops/s
# Warmup Iteration  15: 14046803.387 ops/s
# Warmup Iteration  16: 14499043.996 ops/s
# Warmup Iteration  17: 14521728.348 ops/s
# Warmup Iteration  18: 14033240.594 ops/s
# Warmup Iteration  19: 14480931.944 ops/s
# Warmup Iteration  20: 14292679.500 ops/s
Iteration   1: 14265606.271 ops/s
Iteration   2: 14293611.610 ops/s
Iteration   3: 14212504.469 ops/s
Iteration   4: 14353466.311 ops/s
Iteration   5: 14477618.211 ops/s
Iteration   6: 14255030.059 ops/s
Iteration   7: 14199014.293 ops/s
Iteration   8: 14220125.699 ops/s
Iteration   9: 14425386.106 ops/s
Iteration  10: 14204961.687 ops/s
Iteration  11: 14851740.897 ops/s
Iteration  12: 14350122.385 ops/s
Iteration  13: 14634009.775 ops/s
Iteration  14: 13994031.711 ops/s
Iteration  15: 14522692.045 ops/s
Iteration  16: 14446173.149 ops/s
Iteration  17: 13702080.575 ops/s
Iteration  18: 14424001.735 ops/s
Iteration  19: 14104183.964 ops/s
Iteration  20: 14537589.583 ops/s

# Run progress: 48.00% complete, ETA 00:08:46
# Fork: 3 of 5
# Warmup Iteration   1: 13402582.864 ops/s
# Warmup Iteration   2: 13835457.829 ops/s
# Warmup Iteration   3: 14482446.758 ops/s
# Warmup Iteration   4: 14245923.086 ops/s
# Warmup Iteration   5: 14614436.949 ops/s
# Warmup Iteration   6: 14502323.674 ops/s
# Warmup Iteration   7: 14291168.276 ops/s
# Warmup Iteration   8: 14402058.693 ops/s
# Warmup Iteration   9: 14660949.300 ops/s
# Warmup Iteration  10: 14495089.317 ops/s
# Warmup Iteration  11: 14632829.806 ops/s
# Warmup Iteration  12: 14485631.372 ops/s
# Warmup Iteration  13: 14767879.314 ops/s
# Warmup Iteration  14: 14333680.451 ops/s
# Warmup Iteration  15: 14231649.278 ops/s
# Warmup Iteration  16: 14578077.594 ops/s
# Warmup Iteration  17: 14419820.785 ops/s
# Warmup Iteration  18: 14499875.052 ops/s
# Warmup Iteration  19: 14884028.696 ops/s
# Warmup Iteration  20: 13918934.538 ops/s
Iteration   1: 14643924.337 ops/s
Iteration   2: 13724056.870 ops/s
Iteration   3: 14241759.422 ops/s
Iteration   4: 14504928.335 ops/s
Iteration   5: 14276430.376 ops/s
Iteration   6: 14398849.875 ops/s
Iteration   7: 14310911.338 ops/s
Iteration   8: 14562579.706 ops/s
Iteration   9: 14530437.015 ops/s
Iteration  10: 14370545.221 ops/s
Iteration  11: 14376079.590 ops/s
Iteration  12: 14416229.106 ops/s
Iteration  13: 13981466.866 ops/s
Iteration  14: 14692254.903 ops/s
Iteration  15: 13921368.163 ops/s
Iteration  16: 14220151.634 ops/s
Iteration  17: 14724502.282 ops/s
Iteration  18: 14326245.822 ops/s
Iteration  19: 14720199.817 ops/s
Iteration  20: 14326681.965 ops/s

# Run progress: 52.00% complete, ETA 00:08:05
# Fork: 4 of 5
# Warmup Iteration   1: 13600194.501 ops/s
# Warmup Iteration   2: 14936456.652 ops/s
# Warmup Iteration   3: 14129384.431 ops/s
# Warmup Iteration   4: 14404896.864 ops/s
# Warmup Iteration   5: 14606912.691 ops/s
# Warmup Iteration   6: 14389584.210 ops/s
# Warmup Iteration   7: 14608542.964 ops/s
# Warmup Iteration   8: 13874587.120 ops/s
# Warmup Iteration   9: 14603048.880 ops/s
# Warmup Iteration  10: 14186663.605 ops/s
# Warmup Iteration  11: 14413686.162 ops/s
# Warmup Iteration  12: 14356618.726 ops/s
# Warmup Iteration  13: 14478613.165 ops/s
# Warmup Iteration  14: 14329441.998 ops/s
# Warmup Iteration  15: 14179854.951 ops/s
# Warmup Iteration  16: 14798444.786 ops/s
# Warmup Iteration  17: 15015635.479 ops/s
# Warmup Iteration  18: 14616716.696 ops/s
# Warmup Iteration  19: 14777536.414 ops/s
# Warmup Iteration  20: 14157911.275 ops/s
Iteration   1: 14498086.328 ops/s
Iteration   2: 14312354.719 ops/s
Iteration   3: 14437707.130 ops/s
Iteration   4: 14413353.677 ops/s
Iteration   5: 14743025.856 ops/s
Iteration   6: 14434004.972 ops/s
Iteration   7: 14402049.396 ops/s
Iteration   8: 14188660.890 ops/s
Iteration   9: 14327863.081 ops/s
Iteration  10: 13988364.595 ops/s
Iteration  11: 14645749.551 ops/s
Iteration  12: 14853719.748 ops/s
Iteration  13: 14482490.535 ops/s
Iteration  14: 14664541.468 ops/s
Iteration  15: 14404099.966 ops/s
Iteration  16: 14156200.055 ops/s
Iteration  17: 14531376.429 ops/s
Iteration  18: 14511543.459 ops/s
